,,,,,,,,,,SIM 1,SIM 1,SIM 2,SIM 2,,
Roll No.,Names,Location Name,Coordinates,Mobile Company,Model id Number,Network Provider(SIM1),Network Provider(SIM2),Processor,RAM,dB Level,asu,db Level,asu,Uplink Frequency,Downlink Frequency
,,Nelesh Inn,29.20'22''N / 79.33'26''E,,,,,,,-100,52,-90,38,7700kbps,2600kbps
,,Sojaun Wild Lake,29.20'23''N / 79.33'27''E,,,,,,,-96,36,-83,30,7700kbps,2600kbps
,,Monali Inn resort,29.20'25''N / 79.33'30''E,,,,,,,-108,31,-108,56,7700kbps,2600kbps
,,Starting Point Of Dart,29.20'22''N / 79.33'26''E,,,,,,,-108,41,-88,48,7700kbps,2600kbps
,,Bhimshaw Mahadev Temple,29.20'22''N / 79.33'26''E,,,,,,,-94,57,-87,35,7700kbps,2600kbps
,,Aquarium,29.20'22''N / 79.33'26''E,,,,,,,-81,44,-93,51,7700kbps,2600kbps
,,End Point Of dart,29.20'22''N / 79.33'26''E,,,,,,,-107,38,-103,54,7700kbps,2600kbps
,,Lake Hill,29.20'21''N / 79.33'40''E,,,,,,,-99,44,-88,49,7700kbps,2600kbps
,,Kalika Bazar,29.20'22''N / 79.33'26''E,,,,,,,-94,56,-90,33,7700kbps,2600kbps
,,Kethalai Devi,29.20'22''N / 79.33'26''E,,,,,,,-84,47,-96,44,7700kbps,2600kbps
,,Mid View Place,29.28'21''N / 79.30'40''E,,,,,,,-108,35,-106,52,7700kbps,2600kbps
,,Mount Aluen School,29.20'22''N / 79.33'26''E,,,,,,,-103,53,-84,32,7700kbps,2600kbps
,,,,,,,,,,,,,,,
53,SMRITI ADHIKARI,College Gate,29.11'2''N / 79.44'15''E,vivo,VIVO 9035,AIRTEL,N/A,2.3GHz SNAPDRAGON 665 OCTA-CORE,8 GB,-95,60,N/A,N/A,7700kbps,2600kbps
,,Petrol Pump,29.21'22''N / 79.33'25''E,,,,,,,-98,55,,,7700kbps,2600kbps
,,Block Road,29.11'2''N / 79.33'18''E,,,,,,,-108,48,,,7700kbps,2600kbps
,,Tikonia ,29.21'2''N / 79.13'18''E,,,,,,,-109,59,,,7700kbps,2600kbps
,,Police Station,29.21'0''N / 79.33'16''E,,,,,,,-90,59,,,7700kbps,2600kbps
,,bus Stand,29.20'57''N / 79.33'14''E,,,,,,,-84,36,,,7700kbps,2600kbps
,,Shahi Heritage,29.21'0''N / 79.33'15''E,,,,,,,-89,35,,,7700kbps,2600kbps
,,Game Zone,29.20'53''N / 79.33'20''E,,,,,,,-101,57,,,7700kbps,2600kbps
,,Vetnary Heritage,29.21'0''N / 79.33'34''E,,,,,,,-80,55,,,7700kbps,2600kbps
,,Lake Paradise,29.20'57''N / 79.33'37''E,,,,,,,-93,58,,,7700kbps,2600kbps
,,PRH,29.20'47''N / 79.33'19''E,,,,,,,-107,49,,,7700kbps,2600kbps
,,Van Vilas,29.20'28''N / 79.33'30''E,,,,,,,-109,59,,,7700kbps,2600kbps
,,Hotel Harsrikhar,29.20'23''N / 79.33'29''E,,,,,,,-84,42,,,7700kbps,2600kbps
,,Pant Park,29.20'21''N / 79.33'40''E,,,,,,,-80,41,,,7700kbps,2600kbps
,,Malu Sara,29.20'11''N / 79.33'34''E,,,,,,,-97,59,,,7700kbps,2600kbps
,,SOS Road,29.20'11''N / 79.33'34''E,,,,,,,-88,45,,,7700kbps,2600kbps
,,Jal Sanstan,29.20'11''N / 79.33'34''E,,,,,,,-92,40,,,7700kbps,2600kbps
,,Nelesh Inn,29.20'22''N / 79.33'26''E,,,,,,,-83,38,,,7700kbps,2600kbps
,,Sojaun Wild Lake,29.20'23''N / 79.33'27''E,,,,,,,-87,40,,,7700kbps,2600kbps
,,Monali Inn resort,29.20'25''N / 79.33'30''E,,,,,,,-106,47,,,7700kbps,2600kbps
,,Starting Point Of Dart,29.20'22''N / 79.33'26''E,,,,,,,-110,41,,,7700kbps,2600kbps
,,Bhimshaw Mahadev Temple,29.20'22''N / 79.33'26''E,,,,,,,-110,45,,,7700kbps,2600kbps
,,Aquarium,29.20'22''N / 79.33'26''E,,,,,,,-83,57,,,7700kbps,2600kbps
,,End Point Of dart,29.20'22''N / 79.33'26''E,,,,,,,-102,39,,,7700kbps,2600kbps
,,Lake Hill,29.20'21''N / 79.33'40''E,,,,,,,-110,48,,,7700kbps,2600kbps
,,Kalika Bazar,29.20'22''N / 79.33'26''E,,,,,,,-100,45,,,7700kbps,2600kbps
,,Kethalai Devi,29.20'22''N / 79.33'26''E,,,,,,,-109,58,,,7700kbps,2600kbps
,,Mid View Place,29.28'21''N / 79.30'40''E,,,,,,,-87,51,,,7700kbps,2600kbps
,,Mount Aluen School,29.20'22''N / 79.33'26''E,,,,,,,-110,43,,,7700kbps,2600kbps
,,,,,,,,,,,,,,,
54,Sneha Joshi,College Gate,29.11'2''N / 79.44'15''E,OppoA12,CPH2083,JIO,N/A ,OCTA-CORE,4 GB,-99,52,N/A,N/A,7700kbps,2600kbps
,,Petrol Pump,29.21'22''N / 79.33'25''E,,,,,,,-109,49,,,7700kbps,2600kbps
,,Block Road,29.11'2''N / 79.33'18''E,,,,,,,-104,33,,,7700kbps,2600kbps
,,Tikonia ,29.21'2''N / 79.13'18''E,,,,,,,-98,37,,,7700kbps,2600kbps
,,Police Station,29.21'0''N / 79.33'16''E,,,,,,,-95,46,,,7700kbps,2600kbps
,,bus Stand,29.20'57''N / 79.33'14''E,,,,,,,-100,42,,,7700kbps,2600kbps
,,Shahi Heritage,29.21'0''N / 79.33'15''E,,,,,,,-92,57,,,7700kbps,2600kbps
,,Game Zone,29.20'53''N / 79.33'20''E,,,,,,,-102,57,,,7700kbps,2600kbps
,,Vetnary Heritage,29.21'0''N / 79.33'34''E,,,,,,,-107,40,,,7700kbps,2600kbps
,,Lake Paradise,29.20'57''N / 79.33'37''E,,,,,,,-96,37,,,7700kbps,2600kbps
,,PRH,29.20'47''N / 79.33'19''E,,,,,,,-101,60,,,7700kbps,2600kbps
,,Van Vilas,29.20'28''N / 79.33'30''E,,,,,,,-86,41,,,7700kbps,2600kbps
,,Hotel Harsrikhar,29.20'23''N / 79.33'29''E,,,,,,,-100,44,,,7700kbps,2600kbps
,,Pant Park,29.20'21''N / 79.33'40''E,,,,,,,-94,50,,,7700kbps,2600kbps
,,Malu Sara,29.20'11''N / 79.33'34''E,,,,,,,-84,42,,,7700kbps,2600kbps
,,SOS Road,29.20'11''N / 79.33'34''E,,,,,,,-85,46,,,7700kbps,2600kbps
,,Jal Sanstan,29.20'11''N / 79.33'34''E,,,,,,,-82,59,,,7700kbps,2600kbps
,,Nelesh Inn,29.20'22''N / 79.33'26''E,,,,,,,-99,50,,,7700kbps,2600kbps
,,Sojaun Wild Lake,29.20'23''N / 79.33'27''E,,,,,,,-109,33,,,7700kbps,2600kbps
,,Monali Inn resort,29.20'25''N / 79.33'30''E,,,,,,,-80,56,,,7700kbps,2600kbps
,,Starting Point Of Dart,29.20'22''N / 79.33'26''E,,,,,,,-82,59,,,7700kbps,2600kbps
,,Bhimshaw Mahadev Temple,29.20'22''N / 79.33'26''E,,,,,,,-98,42,,,7700kbps,2600kbps
,,Aquarium,29.20'22''N / 79.33'26''E,,,,,,,-86,41,,,7700kbps,2600kbps
,,End Point Of dart,29.20'22''N / 79.33'26''E,,,,,,,-100,44,,,7700kbps,2600kbps
,,Lake Hill,29.20'21''N / 79.33'40''E,,,,,,,-105,44,,,7700kbps,2600kbps
,,Kalika Bazar,29.20'22''N / 79.33'26''E,,,,,,,-83,59,,,7700kbps,2600kbps
,,Kethalai Devi,29.20'22''N / 79.33'26''E,,,,,,,-105,49,,,7700kbps,2600kbps
,,Mid View Place,29.28'21''N / 79.30'40''E,,,,,,,-80,39,,,7700kbps,2600kbps
,,Mount Aluen School,29.20'22''N / 79.33'26''E,,,,,,,-96,33,,,7700kbps,2600kbps
,,,,,,,,,,,,,,,
55,Sonam Sharma,College Gate,29.11'2''N / 79.44'15''E,Redmi,M2003J15SI,JIO,N/A,OCTA CORE MAX 2.00 GHz,4 GB,-101,46,N/A,N/A,7700kbps,2600kbps
,,Petrol Pump,29.21'22''N / 79.33'25''E,,,,,,,-101,49,,,7700kbps,2600kbps
,,Block Road,29.11'2''N / 79.33'18''E,,,,,,,-102,53,,,7700kbps,2600kbps
,,Tikonia ,29.21'2''N / 79.13'18''E,,,,,,,-90,56,,,7700kbps,2600kbps
,,Police Station,29.21'0''N / 79.33'16''E,,,,,,,-84,40,,,7700kbps,2600kbps
,,bus Stand,29.20'57''N / 79.33'14''E,,,,,,,-82,40,,,7700kbps,2600kbps
,,Shahi Heritage,29.21'0''N / 79.33'15''E,,,,,,,-93,50,,,7700kbps,2600kbps
,,Game Zone,29.20'53''N / 79.33'20''E,,,,,,,-97,55,,,7700kbps,2600kbps
,,Vetnary Heritage,29.21'0''N / 79.33'34''E,,,,,,,-84,34,,,7700kbps,2600kbps
,,Lake Paradise,29.20'57''N / 79.33'37''E,,,,,,,-106,49,,,7700kbps,2600kbps
,,PRH,29.20'47''N / 79.33'19''E,,,,,,,-83,32,,,7700kbps,2600kbps
,,Van Vilas,29.20'28''N / 79.33'30''E,,,,,,,-80,44,,,7700kbps,2600kbps
,,Hotel Harsrikhar,29.20'23''N / 79.33'29''E,,,,,,,-106,57,,,7700kbps,2600kbps
,,Pant Park,29.20'21''N / 79.33'40''E,,,,,,,-85,50,,,7700kbps,2600kbps
,,Malu Sara,29.20'11''N / 79.33'34''E,,,,,,,-90,46,,,7700kbps,2600kbps
,,SOS Road,29.20'11''N / 79.33'34''E,,,,,,,-82,35,,,7700kbps,2600kbps
,,Jal Sanstan,29.20'11''N / 79.33'34''E,,,,,,,-97,33,,,7700kbps,2600kbps
,,Nelesh Inn,29.20'22''N / 79.33'26''E,,,,,,,-87,48,,,7700kbps,2600kbps
,,Sojaun Wild Lake,29.20'23''N / 79.33'27''E,,,,,,,-104,57,,,7700kbps,2600kbps
,,Monali Inn resort,29.20'25''N / 79.33'30''E,,,,,,,-85,35,,,7700kbps,2600kbps
,,Starting Point Of Dart,29.20'22''N / 79.33'26''E,,,,,,,-84,43,,,7700kbps,2600kbps
,,Bhimshaw Mahadev Temple,29.20'22''N / 79.33'26''E,,,,,,,-109,42,,,7700kbps,2600kbps
,,Aquarium,29.20'22''N / 79.33'26''E,,,,,,,-89,52,,,7700kbps,2600kbps
,,End Point Of dart,29.20'22''N / 79.33'26''E,,,,,,,-101,34,,,7700kbps,2600kbps
,,Lake Hill,29.20'21''N / 79.33'40''E,,,,,,,-105,45,,,7700kbps,2600kbps
,,Kalika Bazar,29.20'22''N / 79.33'26''E,,,,,,,-84,35,,,7700kbps,2600kbps
,,Kethalai Devi,29.20'22''N / 79.33'26''E,,,,,,,-103,37,,,7700kbps,2600kbps
,,Mid View Place,29.28'21''N / 79.30'40''E,,,,,,,-106,59,,,7700kbps,2600kbps
,,Mount Aluen School,29.20'22''N / 79.33'26''E,,,,,,,-88,59,,,7700kbps,2600kbps
,,,,,,,,,,,,,,,
56,Swati Bisht,College Gate,29.11'2''N / 79.44'15''E,Samsung,S20FE5G,JIO,N/A,OCTA-CORE,6 GB,-110,45,N/A,N/A,7700kbps,2600kbps
,,Petrol Pump,29.21'22''N / 79.33'25''E,,,,,,,-101,51,,,7700kbps,2600kbps
,,Block Road,29.11'2''N / 79.33'18''E,,,,,,,-102,48,,,7700kbps,2600kbps
,,Tikonia ,29.21'2''N / 79.13'18''E,,,,,,,-83,60,,,7700kbps,2600kbps
,,Police Station,29.21'0''N / 79.33'16''E,,,,,,,-94,52,,,7700kbps,2600kbps
,,bus Stand,29.20'57''N / 79.33'14''E,,,,,,,-108,36,,,7700kbps,2600kbps
,,Shahi Heritage,29.21'0''N / 79.33'15''E,,,,,,,-93,48,,,7700kbps,2600kbps
,,Game Zone,29.20'53''N / 79.33'20''E,,,,,,,-108,50,,,7700kbps,2600kbps
,,Vetnary Heritage,29.21'0''N / 79.33'34''E,,,,,,,-109,55,,,7700kbps,2600kbps
,,Lake Paradise,29.20'57''N / 79.33'37''E,,,,,,,-93,44,,,7700kbps,2600kbps
,,PRH,29.20'47''N / 79.33'19''E,,,,,,,-81,50,,,7700kbps,2600kbps
,,Van Vilas,29.20'28''N / 79.33'30''E,,,,,,,-89,60,,,7700kbps,2600kbps
,,Hotel Harsrikhar,29.20'23''N / 79.33'29''E,,,,,,,-81,54,,,7700kbps,2600kbps
,,Pant Park,29.20'21''N / 79.33'40''E,,,,,,,-105,60,,,7700kbps,2600kbps
,,Malu Sara,29.20'11''N / 79.33'34''E,,,,,,,-85,54,,,7700kbps,2600kbps
,,SOS Road,29.20'11''N / 79.33'34''E,,,,,,,-98,55,,,7700kbps,2600kbps
,,Jal Sanstan,29.20'11''N / 79.33'34''E,,,,,,,-103,31,,,7700kbps,2600kbps
,,Nelesh Inn,29.20'22''N / 79.33'26''E,,,,,,,-91,57,,,7700kbps,2600kbps
,,Sojaun Wild Lake,29.20'23''N / 79.33'27''E,,,,,,,-108,36,,,7700kbps,2600kbps
,,Monali Inn resort,29.20'25''N / 79.33'30''E,,,,,,,-83,58,,,7700kbps,2600kbps
,,Starting Point Of Dart,29.20'22''N / 79.33'26''E,,,,,,,-80,44,,,7700kbps,2600kbps
,,Bhimshaw Mahadev Temple,29.20'22''N / 79.33'26''E,,,,,,,-104,46,,,7700kbps,2600kbps
,,Aquarium,29.20'22''N / 79.33'26''E,,,,,,,-84,35,,,7700kbps,2600kbps
,,End Point Of dart,29.20'22''N / 79.33'26''E,,,,,,,-87,33,,,7700kbps,2600kbps
,,Lake Hill,29.20'21''N / 79.33'40''E,,,,,,,-109,36,,,7700kbps,2600kbps
,,Kalika Bazar,29.20'22''N / 79.33'26''E,,,,,,,-102,52,,,7700kbps,2600kbps
,,Kethalai Devi,29.20'22''N / 79.33'26''E,,,,,,,-91,56,,,7700kbps,2600kbps
,,Mid View Place,29.28'21''N / 79.30'40''E,,,,,,,-104,52,,,7700kbps,2600kbps
,,Mount Aluen School,29.20'22''N / 79.33'26''E,,,,,,,-109,45,,,7700kbps,2600kbps
,,,,,,,,,,,,,,,
57,Tanay Dasila,College Gate,29.11'2''N / 79.44'15''E,Samsung,SM-M127G,IDEA,N/A,OCTA-CORE,6 GB,-107,55,N/A,N/A,7700kbps,2600kbps
,,Petrol Pump,29.21'22''N / 79.33'25''E,,,,,,,-106,37,,,7700kbps,2600kbps
,,Block Road,29.11'2''N / 79.33'18''E,,,,,,,-80,59,,,7700kbps,2600kbps
,,Tikonia ,29.21'2''N / 79.13'18''E,,,,,,,-101,49,,,7700kbps,2600kbps
,,Police Station,29.21'0''N / 79.33'16''E,,,,,,,-93,42,,,7700kbps,2600kbps
,,bus Stand,29.20'57''N / 79.33'14''E,,,,,,,-99,41,,,7700kbps,2600kbps
,,Shahi Heritage,29.21'0''N / 79.33'15''E,,,,,,,-89,56,,,7700kbps,2600kbps
,,Game Zone,29.20'53''N / 79.33'20''E,,,,,,,-95,51,,,7700kbps,2600kbps
,,Vetnary Heritage,29.21'0''N / 79.33'34''E,,,,,,,-104,58,,,7700kbps,2600kbps
,,Lake Paradise,29.20'57''N / 79.33'37''E,,,,,,,-85,41,,,7700kbps,2600kbps
,,PRH,29.20'47''N / 79.33'19''E,,,,,,,-109,47,,,7700kbps,2600kbps
,,Van Vilas,29.20'28''N / 79.33'30''E,,,,,,,-99,44,,,7700kbps,2600kbps
,,Hotel Harsrikhar,29.20'23''N / 79.33'29''E,,,,,,,-98,47,,,7700kbps,2600kbps
,,Pant Park,29.20'21''N / 79.33'40''E,,,,,,,-86,36,,,7700kbps,2600kbps
,,Malu Sara,29.20'11''N / 79.33'34''E,,,,,,,-80,48,,,7700kbps,2600kbps
,,SOS Road,29.20'11''N / 79.33'34''E,,,,,,,-84,36,,,7700kbps,2600kbps
,,Jal Sanstan,29.20'11''N / 79.33'34''E,,,,,,,-96,54,,,7700kbps,2600kbps
,,Nelesh Inn,29.20'22''N / 79.33'26''E,,,,,,,-90,34,,,7700kbps,2600kbps
,,Sojaun Wild Lake,29.20'23''N / 79.33'27''E,,,,,,,-92,36,,,7700kbps,2600kbps
,,Monali Inn resort,29.20'25''N / 79.33'30''E,,,,,,,-93,48,,,7700kbps,2600kbps
,,Starting Point Of Dart,29.20'22''N / 79.33'26''E,,,,,,,-92,59,,,7700kbps,2600kbps
,,Bhimshaw Mahadev Temple,29.20'22''N / 79.33'26''E,,,,,,,-81,59,,,7700kbps,2600kbps
,,Aquarium,29.20'22''N / 79.33'26''E,,,,,,,-86,32,,,7700kbps,2600kbps
,,End Point Of dart,29.20'22''N / 79.33'26''E,,,,,,,-87,36,,,7700kbps,2600kbps
,,Lake Hill,29.20'21''N / 79.33'40''E,,,,,,,-93,41,,,7700kbps,2600kbps
,,Kalika Bazar,29.20'22''N / 79.33'26''E,,,,,,,-98,55,,,7700kbps,2600kbps
,,Kethalai Devi,29.20'22''N / 79.33'26''E,,,,,,,-100,40,,,7700kbps,2600kbps
,,Mid View Place,29.28'21''N / 79.30'40''E,,,,,,,-84,31,,,7700kbps,2600kbps
,,Mount Aluen School,29.20'22''N / 79.33'26''E,,,,,,,-86,48,,,7700kbps,2600kbps
,,,,,,,,,,,,,,,
58,Tanay Pant,College Gate,29.11'2''N / 79.44'15''E,Samsung,SM-M515F,AIRTEL,N/A,OCTA-CORE,6 GB,-81,44,N/A,N/A,7700kbps,2600kbps
,,Petrol Pump,29.21'22''N / 79.33'25''E,,,,,,,-107,36,,,7700kbps,2600kbps
,,Block Road,29.11'2''N / 79.33'18''E,,,,,,,-80,36,,,7700kbps,2600kbps
,,Tikonia ,29.21'2''N / 79.13'18''E,,,,,,,-91,42,,,7700kbps,2600kbps
,,Police Station,29.21'0''N / 79.33'16''E,,,,,,,-105,49,,,7700kbps,2600kbps
,,bus Stand,29.20'57''N / 79.33'14''E,,,,,,,-110,51,,,7700kbps,2600kbps
,,Shahi Heritage,29.21'0''N / 79.33'15''E,,,,,,,-106,60,,,7700kbps,2600kbps
,,Game Zone,29.20'53''N / 79.33'20''E,,,,,,,-109,52,,,7700kbps,2600kbps
,,Vetnary Heritage,29.21'0''N / 79.33'34''E,,,,,,,-96,38,,,7700kbps,2600kbps
,,Lake Paradise,29.20'57''N / 79.33'37''E,,,,,,,-85,59,,,7700kbps,2600kbps
,,PRH,29.20'47''N / 79.33'19''E,,,,,,,-108,55,,,7700kbps,2600kbps
,,Van Vilas,29.20'28''N / 79.33'30''E,,,,,,,-106,35,,,7700kbps,2600kbps
,,Hotel Harsrikhar,29.20'23''N / 79.33'29''E,,,,,,,-106,31,,,7700kbps,2600kbps
,,Pant Park,29.20'21''N / 79.33'40''E,,,,,,,-103,53,,,7700kbps,2600kbps
,,Malu Sara,29.20'11''N / 79.33'34''E,,,,,,,-99,40,,,7700kbps,2600kbps
,,SOS Road,29.20'11''N / 79.33'34''E,,,,,,,-95,30,,,7700kbps,2600kbps
,,Jal Sanstan,29.20'11''N / 79.33'34''E,,,,,,,-81,36,,,7700kbps,2600kbps
,,Nelesh Inn,29.20'22''N / 79.33'26''E,,,,,,,-98,42,,,7700kbps,2600kbps
,,Sojaun Wild Lake,29.20'23''N / 79.33'27''E,,,,,,,-103,43,,,7700kbps,2600kbps
,,Monali Inn resort,29.20'25''N / 79.33'30''E,,,,,,,-84,40,,,7700kbps,2600kbps
,,Starting Point Of Dart,29.20'22''N / 79.33'26''E,,,,,,,-81,30,,,7700kbps,2600kbps
,,Bhimshaw Mahadev Temple,29.20'22''N / 79.33'26''E,,,,,,,-96,48,,,7700kbps,2600kbps
,,Aquarium,29.20'22''N / 79.33'26''E,,,,,,,-96,55,,,7700kbps,2600kbps
,,End Point Of dart,29.20'22''N / 79.33'26''E,,,,,,,-95,34,,,7700kbps,2600kbps
,,Lake Hill,29.20'21''N / 79.33'40''E,,,,,,,-90,51,,,7700kbps,2600kbps
,,Kalika Bazar,29.20'22''N / 79.33'26''E,,,,,,,-95,60,,,7700kbps,2600kbps
,,Kethalai Devi,29.20'22''N / 79.33'26''E,,,,,,,-102,42,,,7700kbps,2600kbps
,,Mid View Place,29.28'21''N / 79.30'40''E,,,,,,,-105,50,,,7700kbps,2600kbps
,,Mount Aluen School,29.20'22''N / 79.33'26''E,,,,,,,-86,30,,,7700kbps,2600kbps
,,,,,,,,,,,,,,,
59,Tanuj Tanwal,College Gate,29.11'2''N / 79.44'15''E,Oppo,CPH1937,AIRTEL,N/A,QUALCOMM SNAPDRAGON 665,4 GB,-92,34,N/A,N/A,7700kbps,2600kbps
,,Petrol Pump,29.21'22''N / 79.33'25''E,,,,,,,-88,36,,,7700kbps,2600kbps
,,Block Road,29.11'2''N / 79.33'18''E,,,,,,,-99,41,,,7700kbps,2600kbps
,,Tikonia ,29.21'2''N / 79.13'18''E,,,,,,,-98,53,,,7700kbps,2600kbps
,,Police Station,29.21'0''N / 79.33'16''E,,,,,,,-83,56,,,7700kbps,2600kbps
,,bus Stand,29.20'57''N / 79.33'14''E,,,,,,,-110,36,,,7700kbps,2600kbps
,,Shahi Heritage,29.21'0''N / 79.33'15''E,,,,,,,-108,39,,,7700kbps,2600kbps
,,Game Zone,29.20'53''N / 79.33'20''E,,,,,,,-94,49,,,7700kbps,2600kbps
,,Vetnary Heritage,29.21'0''N / 79.33'34''E,,,,,,,-104,42,,,7700kbps,2600kbps
,,Lake Paradise,29.20'57''N / 79.33'37''E,,,,,,,-98,30,,,7700kbps,2600kbps
,,PRH,29.20'47''N / 79.33'19''E,,,,,,,-89,36,,,7700kbps,2600kbps
,,Van Vilas,29.20'28''N / 79.33'30''E,,,,,,,-87,53,,,7700kbps,2600kbps
,,Hotel Harsrikhar,29.20'23''N / 79.33'29''E,,,,,,,-88,57,,,7700kbps,2600kbps
,,Pant Park,29.20'21''N / 79.33'40''E,,,,,,,-92,60,,,7700kbps,2600kbps
,,Malu Sara,29.20'11''N / 79.33'34''E,,,,,,,-98,52,,,7700kbps,2600kbps
,,SOS Road,29.20'11''N / 79.33'34''E,,,,,,,-109,34,,,7700kbps,2600kbps
,,Jal Sanstan,29.20'11''N / 79.33'34''E,,,,,,,-99,37,,,7700kbps,2600kbps
,,Nelesh Inn,29.20'22''N / 79.33'26''E,,,,,,,-84,33,,,7700kbps,2600kbps
,,Sojaun Wild Lake,29.20'23''N / 79.33'27''E,,,,,,,-99,41,,,7700kbps,2600kbps
,,Monali Inn resort,29.20'25''N / 79.33'30''E,,,,,,,-92,38,,,7700kbps,2600kbps
,,Starting Point Of Dart,29.20'22''N / 79.33'26''E,,,,,,,-110,33,,,7700kbps,2600kbps
,,Bhimshaw Mahadev Temple,29.20'22''N / 79.33'26''E,,,,,,,-103,41,,,7700kbps,2600kbps
,,Aquarium,29.20'22''N / 79.33'26''E,,,,,,,-83,50,,,7700kbps,2600kbps
,,End Point Of dart,29.20'22''N / 79.33'26''E,,,,,,,-82,58,,,7700kbps,2600kbps
,,Lake Hill,29.20'21''N / 79.33'40''E,,,,,,,-92,53,,,7700kbps,2600kbps
,,Kalika Bazar,29.20'22''N / 79.33'26''E,,,,,,,-94,48,,,7700kbps,2600kbps
,,Kethalai Devi,29.20'22''N / 79.33'26''E,,,,,,,-107,42,,,7700kbps,2600kbps
,,Mid View Place,29.28'21''N / 79.30'40''E,,,,,,,-97,57,,,7700kbps,2600kbps
,,Mount Aluen School,29.20'22''N / 79.33'26''E,,,,,,,-110,57,,,7700kbps,2600kbps
,,,,,,,,,,,,,,,
60,,College Gate,29.11'2''N / 79.44'15''E,Redmi Note 11 Pro,2201116TI,AIRTEL,N/A,HELIO G96,8 GB,-88,50,N/A,N/A,7700kbps,2600kbps
,,Petrol Pump,29.21'22''N / 79.33'25''E,,,,,,,-83,49,,,7700kbps,2600kbps
,,Block Road,29.11'2''N / 79.33'18''E,,,,,,,-93,48,,,7700kbps,2600kbps
,,Tikonia ,29.21'2''N / 79.13'18''E,,,,,,,-82,42,,,7700kbps,2600kbps
,,Police Station,29.21'0''N / 79.33'16''E,,,,,,,-86,41,,,7700kbps,2600kbps
,,bus Stand,29.20'57''N / 79.33'14''E,,,,,,,-81,37,,,7700kbps,2600kbps
,,Shahi Heritage,29.21'0''N / 79.33'15''E,,,,,,,-80,59,,,7700kbps,2600kbps
,,Game Zone,29.20'53''N / 79.33'20''E,,,,,,,-102,39,,,7700kbps,2600kbps
,,Vetnary Heritage,29.21'0''N / 79.33'34''E,,,,,,,-109,46,,,7700kbps,2600kbps
,,Lake Paradise,29.20'57''N / 79.33'37''E,,,,,,,-98,36,,,7700kbps,2600kbps
,,PRH,29.20'47''N / 79.33'19''E,,,,,,,-99,54,,,7700kbps,2600kbps
,,Van Vilas,29.20'28''N / 79.33'30''E,,,,,,,-88,53,,,7700kbps,2600kbps
,,Hotel Harsrikhar,29.20'23''N / 79.33'29''E,,,,,,,-94,58,,,7700kbps,2600kbps
,,Pant Park,29.20'21''N / 79.33'40''E,,,,,,,-90,41,,,7700kbps,2600kbps
,,Malu Sara,29.20'11''N / 79.33'34''E,,,,,,,-82,35,,,7700kbps,2600kbps
,,SOS Road,29.20'11''N / 79.33'34''E,,,,,,,-81,47,,,7700kbps,2600kbps
,,Jal Sanstan,29.20'11''N / 79.33'34''E,,,,,,,-100,37,,,7700kbps,2600kbps
,,Nelesh Inn,29.20'22''N / 79.33'26''E,,,,,,,-106,34,,,7700kbps,2600kbps
,,Sojaun Wild Lake,29.20'23''N / 79.33'27''E,,,,,,,-81,32,,,7700kbps,2600kbps
,,Monali Inn resort,29.20'25''N / 79.33'30''E,,,,,,,-99,35,,,7700kbps,2600kbps
,,Starting Point Of Dart,29.20'22''N / 79.33'26''E,,,,,,,-83,33,,,7700kbps,2600kbps
,,Bhimshaw Mahadev Temple,29.20'22''N / 79.33'26''E,,,,,,,-85,56,,,7700kbps,2600kbps
,,Aquarium,29.20'22''N / 79.33'26''E,,,,,,,-85,60,,,7700kbps,2600kbps
,,End Point Of dart,29.20'22''N / 79.33'26''E,,,,,,,-102,45,,,7700kbps,2600kbps
,,Lake Hill,29.20'21''N / 79.33'40''E,,,,,,,-81,39,,,7700kbps,2600kbps
,,Kalika Bazar,29.20'22''N / 79.33'26''E,,,,,,,-84,43,,,7700kbps,2600kbps
,,Kethalai Devi,29.20'22''N / 79.33'26''E,,,,,,,-96,45,,,7700kbps,2600kbps
,,Mid View Place,29.28'21''N / 79.30'40''E,,,,,,,-90,32,,,7700kbps,2600kbps
,,Mount Aluen School,29.20'22''N / 79.33'26''E,,,,,,,-84,47,,,7700kbps,2600kbps
,,,,,,,,,,,,,,,
62,Vivek Bhatt,College Gate,29.11'2''N / 79.44'15''E,Real Me 6I,HELIO G90T,JIO,N/A,HELIO G90T,4 GB,-93,48,N/A,N/A,7700kbps,2600kbps
,,Petrol Pump,29.21'22''N / 79.33'25''E,,,,,,,-88,31,,,7700kbps,2600kbps
,,Block Road,29.11'2''N / 79.33'18''E,,,,,,,-109,54,,,7700kbps,2600kbps
,,Tikonia ,29.21'2''N / 79.13'18''E,,,,,,,-100,54,,,7700kbps,2600kbps
,,Police Station,29.21'0''N / 79.33'16''E,,,,,,,-91,56,,,7700kbps,2600kbps
,,bus Stand,29.20'57''N / 79.33'14''E,,,,,,,-102,45,,,7700kbps,2600kbps
,,Shahi Heritage,29.21'0''N / 79.33'15''E,,,,,,,-109,32,,,7700kbps,2600kbps
,,Game Zone,29.20'53''N / 79.33'20''E,,,,,,,-95,48,,,7700kbps,2600kbps
,,Vetnary Heritage,29.21'0''N / 79.33'34''E,,,,,,,-88,46,,,7700kbps,2600kbps
,,Lake Paradise,29.20'57''N / 79.33'37''E,,,,,,,-87,45,,,7700kbps,2600kbps
